Customer_ID,Purchase_Date,No_of_units_sold,Car_model_year,Price,Customer_Name,Email,Gender,City,Car_Make,Country,Country_Code
HYGP9VY5A0C7YWS3Z235J574,2024-03-02,16228,2023,207006.17,MichealGarmans,mgarmans0@hugedomains.com,5,Grand Junction,Acura,4,4
HYGP9VZJ2F6E229F0K78S3VY,2023-07-25,36327,2024,66543.01,Philippine Ivantsov,pivantsov1@netvibes.com,2,Newark,Chevrolet,4,4
HYGP9VZMTWB36CXF4RAW9TZ7,2023-06-29,95274,2023,66849.98,Godfrey Charon,gcharon2@cpanel.net,5,Fussa,Land Rover,2,3
HYGP9VZPHFYXSN8P9AMWSH5V,2024-03-07,44403,2024,135830.34,Fanny Hurford,fhurford3@telegraph.co.uk,2,Fairbanks,Ford,4,4
HYGP9VZRC6ZHCV1JSHMNZ445,2023-06-21,41012,2023,172543.39,Zia Rainsbury,zrainsbury4@usda.gov,2,Iiyama,Dodge,2,3
HYGP9VZTZ3EEPXX4S1DTATP2,2023-09-05,82440,2024,100559.79,Zane Candey,zcandey5@cisco.com,5,Gose,Land Rover,2,3
HYGP9VZWEAYRD9TQ9SM94C3R,2023-08-03,69763,2024,30945.42,Alberta Logesdale,alogesdale6@issuu.com,2,Milwaukee,Subaru,4,4
HYGP9VZYJ6Z330V23ZK44MJ3,2023-12-19,78913,2023,140895.09,Oswald Kornacki,okornacki7@wix.com,5,Fort Lauderdale,Toyota,4,4
HYGP9W001F85N658HXVARHCT,2023-09-30,20131,2024,142349.43,Adriane Toquet,atoquet8@nifty.com,2,Sutton,Hyundai,3,1
HYGP9W02923HDG50HCEES32V,2023-05-12,31653,2023,98111.54,Giorgio Leyden,gleyden9@ustream.tv,5,Chicago,BMW,4,4
HYGP9W04H3ZVDTB85173P66D,2024-01-18,93141,2024,276824.91,Ricoriki Heugh,rheugha@reference.com,5,Seattle,Buick,4,4
HYGP9W063GDY6NY2CCB4XNRM,2024-01-28,67017,2023,38657.58,Aurlie Dunnet,adunnetb@irs.gov,2,Birmingham,Chevrolet,4,4
HYGP9W09THPGH7A8DVNB22E9,2023-06-14,13584,2023,83930.66,Ibbie Cohn,icohnc@unesco.org,2,Seattle,Chevrolet,4,4
HYGP9W0A2KJ7N0H04GYNMQPP,2023-06-27,99091,2024,295385.96,Benton Blackall,bblackalld@ihg.com,5,Pinellas Park,Mitsubishi,4,4
HYGP9W0CGNAEJ6E6GQ4A2098,2024-01-17,3970,2023,219318.1,Ricky Bartolomeoni,rbartolomeonie@nifty.com,2,Kishiwada,Chevrolet,2,3
HYGP9W0EAT7SG78EXDRB7KV9,2023-11-14,40607,2023,268815.27,Noami Meak,nmeakf@artisteer.com,1,Palmdale,Nissan,4,4
HYGP9W0HC9DGEXZPS6MFNBRQ,2023-11-23,72865,2023,288665.77,Audrye Hessentaler,ahessentalerg@dyndns.org,2,Baton Rouge,Buick,4,4
HYGP9W0K48VSYDKM39YDAC4D,2024-02-14,44403,2023,122170.08,Ursa Winspar,uwinsparh@github.io,2,Austin,Honda,4,4
HYGP9W0NC2HVJD27F63HXS9H,2023-12-23,44403,2024,134166.03499999997,Nadine Adlem,nadlemi@t-online.de,1,Greensboro,Aston Martin,4,4
HYGP9W0QSAPXC2355Y3505CA,2023-07-27,44403,2023,262812.41,Talbot Dumphrey,tdumphreyj@reuters.com,5,Hanyū,Ford,2,3
HYGP9W0R3RE9HRCXCW64DEGS,2024-01-11,44403,2023,277760.86,Janine Starkey,jstarkeyk@ibm.com,2,Grand Forks,Land Rover,4,4
HYGP9W0TD0V962Q61JHP2YX6,2024-03-12,25603,2024,86354.03,Claudell Coaker,ccoakerl@chron.com,5,Harrisburg,Buick,4,4
HYGP9W0W2DKKEZ89WVS1SXS1,2023-11-30,87545,2024,87699.16,Andriette Auton,aautonm@free.fr,2,Los Angeles,Volvo,4,4
HYGP9W0Y31Q69KV4XYJ5W34Q,2024-04-16,50297,2024,49131.67,Casey Cashmore,ccashmoren@mapquest.com,5,Louisville,Oldsmobile,4,4
HYGP9W2A2J07K94W992B28VX,2023-12-21,39391,2023,279171.67,Say Kleimt,skleimto@goo.gl,5,Ikeda,Dodge,2,3
